empno,ename,job,mgr,hiredate,sal,comm,deptno
7369,SMITH,CLERK,7902,1980-12-17,10010,10009.00,20
7499,ALLEN,SALESMAN,7698,1981-02-20,4444,90.00,30
7521,WARD,SALESMAN,7698,1981-02-22,1325,90.00,30
7566,JONES,MANAGER,7839,1981-04-02,22222,90.00,20
7654,MARTIN,SALESMAN,7698,1981-09-28,14141,90.00,30
7698,BLAKE,MANAGER,7839,1981-05-01,800,90.00,30
7782,CLARK,MANAGER,7839,1981-06-09,900,90.00,10
7788,SCOTT,ANALYST,7566,1987-04-19,90,7000.00,20
7839,KING,PRESIDENT,NULL,1981-11-17,90,5000.00,10
7844,TURNER,SALESMAN,7698,1981-09-08,90,1500.00,30
7876,ADAMS,CLERK,7788,1987-05-23,90,7000.00,20
7900,JAMES,CLERK,7698,1981-12-03,90,950.00,30
7902,FORD,ANALYST,7566,1981-12-03,6000,90.00,30
7934,MILLER,CLERK,7782,1982-01-23,575,90.00,10
